Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
9nA3P39mgjU,ISSO É ROX TEEN - PRIMEIRA MÚSICA OFICIAL,ROXTEEN,2021-01-17T21:00:01Z,ROUPAS ROX TEEN: https://www.lolja.com.br/parceiros/lu... FILME ACAMPAMENTO DE FÉRIAS 3: ...,[],UC4kt-PRWbwpcArLIhE26mIw,14053584,138455,0,4692,{},[],{}
1G4isv_Fylg,Coldplay - Paradise (Official Video),Coldplay,2011-10-19T02:42:54Z,Coldplay - Paradise is taken from the album Mylo Xyloto released in 2011 Subscribe for more content from Coldplay: ...,[],UCDPM_n1atn2ijUwHd0NNRQw,1860866917,9223231,0,356034,{},[],{}
ZbZSe6N_BXs,Pharrell Williams - Happy (Video),PharrellWilliamsVEVO,2014-01-08T08:00:01Z,"Official Music Video for ""Happy"" by Pharrell Williams Listen to Pharrell: https://PharrellWilliams.lnk.to/listenYD Subscribe to the ...",[],UCtQMmwBJGvINGU0lZ_GrZKQ,1288242747,8535040,0,230041,{},[],{}
r92TO57gBqI,MÚSICA DO FILME ACAMPAMENTO DE FÉRIAS 3 - ISSO É ROXTEEN / ÚLTIMO SHOW MENINOS VS MENINAS,LUCCAS NETO - LUCCAS TOON,2021-01-15T22:00:11Z,FILME ACAMPAMENTO DE FÉRIAS 3: ...,[],UC_gV70G_Y51LTa3qhu8KiEA,9050484,115765,0,0,{},[],{}
qPvHXFombyU,Música de Natal - Bate o Sino Pequenino - Coleção Miau,Coleção Miau,2014-12-17T21:50:48Z,A coleção Miau apresenta vídeos para crianças de datas festivas com músicas e símbolos do natal no mundo ocidental.,[],UCzHttst_V8B5EP-Ljh-odMg,67172335,479416,0,0,{},[],{}
JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),Ed Sheeran,2017-01-30T10:57:50Z,"The official music video for Ed Sheeran - Shape Of You Subtract, the new album, out 05.05.2023. Pre-order: es.lnk.to/subtract ...",[],UC0C-w0YjGpqDXGB8IHb662A,6256826073,32960237,0,1161237,{},[],{}
UrIiLvg58SY,Extreme - More Than Words (Official Music Video),ExtremeVEVO,2009-11-22T10:18:31Z,"REMASTERED IN HD! Official Music Video for ""More Than Words"" performed by Extreme. Listen to more Classic Easy Rock ...",[],UCvsOSGkyFm-U2k2wSnLBAGg,744082133,3683217,0,84231,{},[],{}
k85mRPqvMbE,Crazy Frog - Axel F (Official Video),Crazy Frog,2009-06-17T04:30:53Z,Stream/Buy@crazyfrogMusic: https://bit.ly/CrazyFrogMusic Subscribe to@crazyfrogYT Channel: https://bit.ly/CrazyFrogYoutube ...,[],UC4XR0EZ0oHwSV2XhhShzX5A,4527573494,18121745,0,699718,{},[],{}
Hjve_Uut9Wk,Música quando vc estuda e trabalha 🥰 #cantora #compositora #humor,Ariah,2023-02-28T21:05:02Z,,[],UC1UaqxUGarqFTigOKRRfoPA,709276,61378,0,881,{},[],{}
_o-o_2n4SdI,Adela Borș - Sofia,GurinelTV,2017-11-21T09:54:51Z,gurineltv #AdelaBors #Sofia Studioul artistic Rodica Rosioru Coregrafie - Smile Dance Instagram Adela.,[],UCEcjZ5Vz6ygmDbtmce6N_zA,401244419,1695142,0,0,{},[],{}
